"アカウントカテゴリ"	"ランク"	"広告URL"	"広告テキスト"	"広告スクリーンショット"	"バナー"	"実行日時"
"男性 30代"	"1"	"https://rd.ane.yahoo.co.jp/rd?ep=ALT19vgTLVerso5_pRP9g.2A2LJ30j4_pPBcKt2382riyVf92A5HX0Q2_3LxV2eYsKcfOWvf32zLTOJcE.slPjZr2FStbGtoE2dNYwB0qjSyVnb2eXj9ZhB.hZe_4mea1Zq3j1dnOM0EAr18D8Uf00E_Bcn_TgewFwZRg0p_JWdGlqHVNysi5OwR1Jz.XBefw1EmudxWCwr7hqg9eiDdBQEKc9iL274snjLqXkgAbCJyvhQsM4GF7qR9NxyNQPDhdPsA2VMTZY_gn1xjA.WW_na5Yv88VAVB65Tgs5bP0sYtFoaOTmo9iGl81xh9W8SbH.J6LdlthVJfNxINe24z2jyYtWEnasFm4NahbkQC6rysIwNqwjBQaMbOTsFMVRVlwNMkno5WOttQnZur0V9QnuAqDPRLUFWKl5YT0R0AgbHRc396pAQZ.CkHsJhqddn7STQFAoD0n6Q57Qlg_Mib59NWjCgh7Y3gNtr4UFG1c2ulnYXvIfEmKsLnnGGRnwxelhbYCx0Hkt.He6J9XOYAxtqBn0HbUmqJ7o4BJjn5BnjnCaIwi8ZXohdz99neMp0AgaYASmyUSgTRJudJj0Zp8XVMV8.plX9CXUs.k.5DCAv6ELP1E33xhZvJ_IXKGkYK.bmS0Wq10C9QCmRK7zxfl0JD9RCyd1kF3ekGf67n8gi8dFz1ZY0hM9UOht48PBbT_Kihct.zQanbJz1qUMC0jyPI2R3UcMdluV1o1VPtrhueRNCCAYQURGKO2SYY4w2sYt9afcXvEnbzTKPXRWaMFZpyJn7HPY1P15Gj2._Glh1r2YuEgMUaxFAeBr49UkVEi_Wk8yMEUpCs9YlC8.jdPeZyb3nmdu00HUbmmqkgHuJDFFz0dCmxxhbVzS4B20MDYkNeQCKgEVHO4i9Fjd2vfY35bT4iqmwfQuKDuspBcZErqQ--&v=4"	"あんなに痛かった、腰痛が！ 富山常備薬グループ"	"img/1/screenshot.png"	"img/1/banner.jpg"	"2020-02-10 20:08:23"
"男性 30代"	"2"	"https://rd.ane.yahoo.co.jp/rd?ep=tAg24_8TLVf8NUwoSa1ArfVjGcEl8X2i_PtbiUBzYaAlWBhpVTIDVdSW973gTx4RPIQdhWJHAkZi_E3q6Spui8Cb6GINl9kFwuPPK_Djtnm8BU.fCMjUnpOxQutvzH9hOake5EFdytzxQYj6JqfTcDArmbqIWgGMpQ.onUIee3Ql11c4Mi8_VR3nuEmxlZ2J2.Q9p.4.HCdaRxo0KECKx6dCpZaE65d4PKB4c0BNB.l1XE1oOwKXHHyFOudQ7zPV6_Ix8PR9FPStjpVK0kpDhtvBJEGLITqLqDgB2RXbm1AQAVbFWfTPLJyYQfaMBUF2yehzXVIOkVlBbAbMJ9uTLvW4jmcQumXcepISTOmkeo.Esy9rqAtuGPs_VA54ibswQZst540ZSg_qpaz2Qf39UC99xnqQ5n9YnxzyGQia9j.Keh1RorMyq17je2zTdcOVdWASLyjriYToJqAiepEQQPikgwF9dkUYEeJdwjsi7cM7AQYgHgwa2aJkALu1IB6UWoEwmJEdGnlKRIpzjttv_LCY8EBdWSLjCjA5gliyDP4JjXI5P95PmWvNwxEqkQRN0PQvap4BusFtKHROO_3cXg8HNbxRUaWcMnK8RTw6j54kdhoxgy9Okooz8wn_RqBcjKG_PqR3Nnv1C0W40q5E48Wrj9KI4dT9hbNYxY.2B1zXvolPOkeIZOvYXLKxoBUet3mceVTbBfj4YJmesF0l4xTVNQYkpzhsM6_AM_4l9c0l94UUfBrOGm0CbOsC8JRUj3bdEn9VNlKt4M3sMPc_4s3IeayOdfK_QmqRFmiXTCXKxpYXR6f79MHBqMbMTMR2.IRb6B29cHNDv9nWvEX8evPNs.wLloUMvZvWAWTHmjMlAYu4HfI9kU6gFdKhpxi0e69l.66WKP0z89oxylrp1.DPI6EvAYfikC3CddkpnhUZ0MaNr7yqu_pv7L9_Qa6E.N5BZypB6Z4OfQQ-&v=4"	"家族まとめてUQ、だぞっ UQ mobile"	"img/2/screenshot.png"	"img/2/banner.jpg"	"2020-02-10 20:08:27"
"男性 30代"	"3"	"https://rd.ane.yahoo.co.jp/rd?ep=mFc7weoTLVeGwTl9fMZNm00_TE6O4Oi5se60Bm_M5CrYx8LSvfNicMCgRclzUWIU0ngggUA_4MZqVkEEHu9qo3hbPq7khomkpdx561hTsqlp.hXY8JMO9NEbjw4gOY5JAwU4j.Km2gDYbgbsxt3r_mAeNNZt0OkugEWEVWzQHOD.loG.cfORu.jPYXYBCdBoJA4uQ0GNpPoNhZqs2dVAUay9UDidtmehfuPJ0umTODotxrRIKD_KNgSwO8hKfZERlY5KDD4HbjAShnIMR83VG1hlqmBUV8aFi1.Hf0DyizgxB0Opu6rGMqmFuDKxj_xc_MSdZKkI0B9BU_kNqS7NfXdaclIP4wNFxodZjXEfQGPyCcJSJGVHzMsdEHOYTO0NxsqMjXLcGadhQeBDjrmOsKgzqz9Q2Y8FqHU5pbyArwXw6e0Kg0L3_8f00SvrfAXOwS.plH7YfO.fL8bdJvokVGcZjIPzsyhJNaz.S7SVqDvHUS..xU8wG9B8LIRdlx_fmAKh.FIwvTpqk3GB0TXD1N.XSZmRQAnjVQdh1i.wCPPpX9uRMTMxqxO60GU3ZElQzBt9yi4ZZf0V7tbdW9zc4ghR7izhP5K2jDDXbl2_az5ZTwNmnonxpPrICNp3grTRa2b.H5j2gkc7umPb_bSnfH8cstpXzu7lFSX_4wUHFekVJ0AuLUbJ5gApiEqQLbEOV5pR0N5_bnteQxtvm8IeMG1QMCN0S1VV_ixK.cRhRrr5gtBrNWfDm5p1YVchGNz4LzcJ8z7G8q8dTUgZfdR5AQEFBbOOcHP7FSQW2mWwZFq.blP0Q7RJ1aWLOcZ.RHKlE6lEweis4nAe1C5lxrw4j42w.UAdPtWryyvDQuEHo2qKupurq5uXVsZVYmPx1fP60bPPtMZjg9quJw--&v=4"	"ソフトバンク／のりかえなら今 Yahoo!携帯ショップ"	"img/3/screenshot.png"	"img/3/banner.jpg"	"2020-02-10 20:08:29"
"男性 30代"	"4"	"https://rd.ane.yahoo.co.jp/rd?ep=i5Y9_8UTLVe9NnMrV.5UGA.Ld3NVIq8.umb8JKv39phk3YM6fPAIXvsJ3TIUnGyklRxEbYda1q2tSxySL1vOQ5Qh9UUmPHZCSrxpCJH6AsTnbh42g3ZxhEntuLHDVBVcUiuQzIAzdc8MIPdKsgzJXKjV0_aHvp1TC0MwYXF5w4ivDyDr98veyKl5AqA2SW7mqHY6N.3xMlUoZgtvYbjo0zW31hS2o.FowrRG3CF.ATdwPMdCqNZfkTZbQJhdyfVp.sthuUmUuhA3QpcfKQx0_t41S2pKhNKaJMctKOkGcBNARF3seI9HzF2KoJWNuZhA.62Qg7ZEv7OgX6hava402qckBdu6EXOHn.LVvN0KfzvntxeTgA0Yl2q_jwANqLaeJCKRsg27H0lO8rhZ4xixaN8cPeuuFwgcj.txPAIehIrm3kPb3W6YLuiL5H_e3bYR.RLgyxc0.DyY0PtAVRO7tlaFDQnfzhuQ3o24kepzb6S1xiVrnLkV0KpWeCPNtzmXYyxZXqztwkQkbbxKVJAUVicekjP2XxrMWTuuC7zySOGTvS7eig.slq3UqBw4R_KUj7sE76rdx.zzaP6ulpUI2lUkYWxH8PWDqAd8BHtsra8_7csri_MiEVxUbDA9jLOs3tRNmIxaiaAFygueegvrXc1HwZpRn2T.XAIxExntCe_IEC2T5swIvaxiQgQ9McmReafX2dCvex26q0aqS0y0EOvnir0By649WYFwSPDoLv0kxn1xOwhKUe4ttNVDuBf0JQH2hFAVt5zPIFvlN8nDKmbm_XBLpZeAWQRFPXbGP5n8NZ0U1rxZxo6afWODrVOfLNtX4gqzKjmHQSnrJ3e4sTz5_imwSkPqV4bfXY7bqMpPzzDRbyRTsvJ_UUZWfq9lPqlPJOtfTJJf0k8fQqOlQY_eRGWOWvuSJqx7LsK928XQntsvkSAzNvVXUmRUvQ4RGwq8jvhlj50HmA--&v=4"	"2児ママ「一生これでいい」販売後、殺到 N organic"	"img/4/screenshot.png"	"img/4/banner.jpg"	"2020-02-10 20:08:31"
"男性 30代"	"5"	"https://rd.ane.yahoo.co.jp/rd?ep=sDT_P0wTLVexwIGIGn2GKDnknPlk_bVUiZyJ1ba_3yr7uuPOs8SqyAk777KJ_9SqxFN7VCju3PzlzCrEmlmKB2__jWYx6zUHooluF1F5CDqxKnZgpln84_275Bfpx._ZGrM9OEaVNwgKyLRV2EiDwm66.1n6wIeSilJMhmpU6KnfSRRu3Xgq4SoDrv2A_lx45cYpK0_BH0Gj0mPmlVkutAGCJilToS_SDlQCx1bPh1OYij2LUmKzfwRQSDJqSQ9OD4wMI9fiVmYkwwH1p_odDv.PHVE2rRxOb9McJRe.gejghYdq8ithF2d6lu4DHz0qVGPTfFTwKK5YZT7k5Qz64htw9YEFsslGi9Ndu3LjgxeHsYBoeYTRMLERrRUzCLIUCVmKWLuwoc.5FDStHLp8H_jvxM1oJ2icjgD5to05OH2Dazpt9sxCtgMQVvqXSs9JFCgWVQDgNStGRT1wiJDY_6ZoYyAxu7CzO4Jtw2Fv5EF.1qGW_lLGHEKLBuZnL5pUzQut38rP0UeZXvTmpWt4Qd58YrUTNU8oENVL_tNYh2pXQe7s1c0pQNFSYnMUysMCbyn_HehnTaCix8.BPkTf_WsBqfuFWLOsO7vh4jwSzlCMjbScPceRw14XdARVgYyVa8RMn6GEd_udwTKQaLH13gsbcT1ljfwTz6qd7e4CJOMzaoRvy5ZupjjUY69TC454Iw7XFGtNF1QfcC9GSIskHr_LmKVvXRj4qsT8XfokT7zZncQ9WWny1HNLsW6EDlIHVqpQqlhEPT2BqHVYtKrRZpHaWiLeR1u.h_NLxQgUt7CaZXQUfJvgzkagChGvnSg_eLklzY_1aIfSxoaguKvyASkHJaUzB1917SDxzlwCzy39qJRvaI43McwBi1bM&v=4"	"「お腹の脂肪を減らす」ファンケルのサプリ ファンケル"	"img/5/screenshot.png"	"img/5/banner.jpg"	"2020-02-10 20:08:32"
"男性 30代"	"6"	"https://rd.ane.yahoo.co.jp/rd?ep=fkPOD9ETLVfE5yldqXlwLkZqLoP.TWbW.EydNjbJEjdrdCHx2n1T8XOtb7PwJvCgDEfGInTUFZd_9DfF9RopPOc6O2GssHIWBgddzfBJCL_If189ik.P7279cpspeifzKYIVIq_fgFl4VTAbSnPshAaT6fac_GzSqUs6e7jH1.iwnS3V.oZo13p0nd12pYeQJG8.u37Y22G8fP66aXUtHh2eNNiqvfCgBteLnrbn07.oxgfRd_IOZIl74dnCxYoDCWOKEXUQdgGAqciV8u1xz2kTy9eXsacocQpSI5atmfc9Z8OIx7dfX3IkUSbTXJ4dL9QqD5Syc5jcg344qOLhb.325gTIUbaA1brAf8.c4JLR1gVVfCUt9Nns.UOpC32IyOQX8E1d1ktB0ujZMMkUcudkn_KynDU.nxU92gWqopFMl9iMq_5rH4JoVFDzMwbeJzetZsSAelS1kqT7nLOM5BdTcxt0_WvJU2uCTpGvA7N_TRTPFf6oPmgUs8apXxut17syuE_7eUyMFVRLJ0twp8p0nZwQNlO8KHHK8N9juYOF9nHIMuKYrqWMBv19dJna43sDm9RLIoF_ivr.CykDm1XU8Ue1ATTzoFU2nTdORNiB1aGGnhXEpx69wRwMSNwkavmJCsxOKOB8KIP4c5T950uK43k1rL2Dz0yhOAWvxe7SJ0R7NVAzKvUkmvb1QHSSOg3Rxs4K_yKpvOTIufViyzq5d1XlGsVtTBBs29WLm9G7hystsXzA5uCbyS0i6bI9v3KdVCWmfCMXBnt3cSY6_diOsykcRE025ItvxS7I.JsxRyUHdfVo_T_EenAqYf6WkAr4XkW9iFZfWdSHhxKHgZnmhvw3Ex9SWGDwmb0SfPE8Gpe1UvY5oHLJvXaFdm72Y9B31CivC7fOQ_CC6wtc9mvjAMobFwk8ZA8F.oFsX2tfUCaRuHMKzilNOBy5t3Nb4n_jCoQ0cjWVyN36bOJomdDcSfgzygUDqFTgyzX.lZV7RlfrJQKZxheYw8kITWNrWsuS.hA7leQ-&v=4"	"腹部肥満傾向の方、必見！７日分をお試し ライオン株式会社"	"img/6/screenshot.png"	"img/6/banner.jpg"	"2020-02-10 20:08:34"
"男性 30代"	"7"	"https://rd.ane.yahoo.co.jp/rd?ep=z2BFiO4TLVd0Oc.tB6r1GFc10lkcCBlieI1JLGp1__iTTLM9xxsDfO8rkBASUg3H9LpXiHciMPVQP0K7skuAym5da0GMizn87VVlcQEpfVsSf7tpNt4FhN41o_E_jU9MvmJFSG2wpfsERMCj44rfPKvtcNz0NEmcV5MYS_bWWOg58muaHoGG5KgnHnHLm7i99zvh8_6J7dHGbwVhmRAwhC3kojEUhO4Ro2_IgcFFKf6dMPoJYkkEAGTEwxQYtoEsDQ4lHJ6PybJG.EY16yIA4nppT.ZB7cQjzm80zZ9rOHaHeaXnQOL9LEJllrAYGu5gJ3fbdyzYT3jHGIXOSIe_wKjY3GSMjuDPjZ9IjuCuH4KJ1_C.mLBQwGROCjFL3O9EEgRuyaP7Quw_y2ohpdVh2lPeL7nCKzv.JTVHGVG.SnXo95h9LQMK6K2.npcOLfC2TDC9GKJsv4LSeoyBqG2CzcDRfaEpgLN0dgPmuSkR.rBlQQ2ePZ0UrDepqSTwAJzw4hSmMPN2qbJRXdARLnbQkAScdvs8tDzCARIAi9tb2QJbh1Y.9FtCu7tVAhBYS7tjtZNb2881f0b1lU4kAC1i7xuCThFuJrcQlh0sjtrORgu_fXMZe4SUwdmnbed2B5.HEOV_6uGLw9CzyyxE29drwrcU_shcvygYriXC_lKe.OA7BVedLcsS1xP3BuP7OUBghiA8wOoGbssQd2p4KEmiNx3WbYTaJWEWLhQpz_J8e9OLbJVTM3Ns7PM.r8i3Ot6KxP.0XVAHHzD63c4_SoYgHixPHkeO_zLI5agFypZgI7JdZM1.MaOZ2EYael8IzCPDZoi0oMcFOJikHHaMeiPLwpkRuyuh4066PbqanvRNw2QdN5s40AYByStXO73CIVRSJDh3ewGJeCjOkMW8Ezwy6cNGBrulIlPZBavjQPqaY4A4W6iXV95dgVAyJg--&v=4"	"大特価！台北3日間19,800円～ HIS"	"img/7/screenshot.png"	"img/7/banner.jpg"	"2020-02-10 20:08:54"
"男性 30代"	"8"	"https://rd.ane.yahoo.co.jp/rd?ep=OuX.L4kTLVe3NPNoTnsLhjqY9M8xgSPLOV7YVoxlVCkS91XGuPgSm7cE4u5wvyZ0nWtgP8Vq2HkTJevtVhc6s0CkEFEeAtLDOSGZk3orIiaiQxvYhaNz6o2EHPaeNINUaZvF331of5MlQnQU4IlCj.EoLrDoInZ5mWl28yLu8_VUgvgGIQXwau9wrb_1UuGdbLrt2CVCVcs07k1UfO80KAL3776_NB69_W9QYcaPduFx6G5EOexcBcsvy_iAFqH2oK3ejpV7_EKEvCjAEyprpZyibvqSCDzcwZqSBM_nnMixXC51rweBpGNZo4tZ8UQrTYgQIDA24XzjieouSHpYZq_W6PH_xh74kqYSNWH7g7_m5vOx_tu71XAEYNxZBPLpQ3CebcmTX80uQuu327YvKKHxIfA2p93cBqk6hbDOQTTtnOsW.sMaYs4UcgwYa4VdfMXO7vnynQ7EWefUQ7R_Yj6S4e2oQ9.CwIZlBJv26AbiMmzGhsn.xh6fQhzwUzCcV7oU6ZmIePSbj8mBAFaJgOLIvqoLooNfwKC4t0Znn0bZ510rqzr14mdeFtFB6updaAkmU6HrQWxWqiLG6zm5_4D_5XiczxTYvNFdd0wDCzFzBwgwbvNdemLus_lUYPq9gJMhqG6vz5aUQ3PidnC5iEXLpna9HfO2e0rs2KkciRYdPREaq9udAMS0wy_eWS.QTwW0.k9Lashf8jhEmM79L0QOyFqdgOqUssW5Vu9eYigUwcpVCqOB0ftaOOMmxO7PbA8pIuAzwseDHYvAif60067oido8DMwGIqzlpbstqVMWvEhjIAkegCk7WW7F_tEh4C5DbPcpHZjn4VwAy1C9basEl3uWkdMf2c1TLJ56FHj.51.s8ZZHBX43vacuhhknRvHysd7rkGk.YK.kSgjkSa518dYHhRYtLzI8foeU03bOXg7EX10-&v=4"	"SBI証券でTポイント投資 SBI証券"	"img/8/screenshot.png"	"img/8/banner.jpg"	"2020-02-10 20:08:55"
"男性 30代"	"9"	"https://rd.ane.yahoo.co.jp/rd?ep=Zlm3.hYTLVdcV3kio15NwAaZJ0YnjPdnI2M6Z_VJk8odGym19qBjlEkKfVzTJlCTv.49WqxemO8pWeV7bMiLNghCTsuf1QRUr2ZeiZTpmw1nbiA7fl81Y49ZhBZJBaYcCFQarwm4OhNdXHh_jvZbICo1PO4H6iGfLINlruL7f5U_.z6A7__JYVVJOy.Du18t312_Z5NVID3JpGYh_XHDMieIotFXk7z0ozM1Ep22mF34PYl6mgA9rSfhssyeWa1Rj4o_X9tCYYIuGILvOkuZwNE6bNsH7aRloDnnfprqQJ.d1zu095nFH0Qc8YXcFLIPuO29QlvYcChPkWhf783gzyWcn4cVlwALpl.Iv2ofr1sGTqeJzvg0dY2Ufq4SHFQ1u1B4ho79mJeycxveNNNUcsJ1UPxyKUg1j2Q4Dvr0WF.m1TbDci2tDmLJAC6g3xIls2.P.T2M71InQ4rFrDFWnCw27iSYVNbYd17Ii34wAJv38dvC.6gDQGYbIdigwOLWsicrhtbZyOgBwcCMFBya02qMMdvMz6VsOcF3gnd4uqAdNAwhOWT4BPLmQMYx_x3iSWbDF4BrFsLLVzJFHcDhdScbHpQdn3TFmo.hiTpO5HogC1gy6X0oEiiHZP_.CCmQV8LC5nggvIBa0mSxURTGMajxnoLqeWbkdMcY6rXr1RTAFfirM60.uZ8wlAUVcxwq0itQo9D3UJ0poM9oej63PDzuCbBTMKdqulkYa0jyR_01C_9CI_g7ZaHPGVwUPrVoLiCLlir.U_r4VIOTaNGF6jxzmtha.fWEZkbbwBz4QceiEAXr0746CFZH3qFaijXIkMoqTb0XpwOrvlG7iWjzc21hb3ePe62Ds8AxfOcdcQOA9SYl8_pHM7r37h3vDHUcgyLk&v=4"	"なるほど！転職をした経験者の本音とは？ 転職求人ナビ"	"img/9/screenshot.png"	"img/9/banner.jpg"	"2020-02-10 20:08:56"
"男性 30代"	"10"	"https://rd.ane.yahoo.co.jp/rd?ep=cnZDHWMTLVdN90wU2kWFFj5qRJLSE5FCUa5hD6vA66rNDUgtlPynlnSKRodqqVkswWHp8mRDYKYLRi4mnee1emcAsOWkInaTmf46Bd2f2Agh.WkhpiNvhC.nD0fzbQ.eB41k7T9uhk5uoWUqLJIU6NgmhcIkRw4rxz0qMklbOPZRjllhullHkeljzysZ63DzyEUIYrALzx7BSGEQ4EXwpT2mpJ4.DYgXf.QhBGCyrVX6Yt.QUgjOZz2wtnyDOsmbrXxQ1mUWMtIeNo6DAWTnQSAsPp_1obLUj3NHPo1fLiN2V4kEdI2UT.CxHdW3X2na7fHUpzqi98jFG0cWsMeSNNt9_a1ojF.IUzizaKDaWHyNOYWjfZ1tJN5pYMnAMAgWcIPF72fuhhZdraJ4_mM53dGpdXPjPIe373YM7hs7D8xmLhHbXjpfCZtWbYNcljZaIA1hB2fwKAP8T3..0BzGSleO06S5wj2_fHW89nqe.hx3zRf5FuVZRAXxqPjT33xSHrX65YTjHriTfffFzS5x6HvaBZQmjWVkouYEo96oqt4DxIUXGV5WzdGCh8e5LDkw2qYaBqsiCvpbB6nNtZCGh79fT7etxWR0BXVCDQ3piMpBVIMufdjs4ehmK7e1XQNPQLz.9VWB1xzYxUmR3sYc.DXRXUM3juExAx_o00s20BgwiS1pxzZayeb_4L3IZf_AfPIkN13sN673lPHo1xTaVhzS0sXunCEwupxGwp8a2gp1vzOrqrQm5WbJT.siRi4UNVNRiNhHX24zCfkNTeZLORYHbFyDlXONqW638dXF7TtLbCfmgxiiVqaQH60-&v=4"	"英語ペラペラになるスマホゲームが凄い！ i-smile"	"img/10/screenshot.png"	"img/10/banner.jpg"	"2020-02-10 20:08:57"
